Review,Positive Word Count,Negative Word Count,Sentiment Score
"great play stay stay loyal inn package deal hawaiian airlines, bit skeptical location star rating pleasantly surprised facility, staff wonderful rooms/lobby/spa exceptionally clean location touristy area no problem traffic great restaurant shilla street,  ",6,2,3
"lack customer service skills overpriced place online reservation party booking like, just staying night sharing room friends, arrived politely greeted, reservation 4 persons confirmation letter, asked guests told 4 said extra guest cost 20.00 person night, rate 150.00 room 2 double beds, told reservation 4 persons said said 2 persons, went ahead took room, time nobody told parking ask, given key garage told 50 lost key 100 sunday left car garage closed sundays, nothing said parking, left went ball game returning late evening, received keys went extremely small room, walked view brick building door, room clean, checked morning asked rate produced confirmation letter, told getting best rate available party booking company, questioned charge parking, told 18.00 park garage, told told manager insisted person checking told, told checked told key charged garage parking, told tells guests manager, not work price told parking fee confirmation letter showed 4 persons, turn ended paying 240.00 room budget motel, breakfast leaves desired, floor filthy food food not stocked counters dirty staff sitting counter talking, walked corner tullys instead.i stay motel, having worked hotels past 7 years not know guests, treated guest business, recommend customer service training.we stay tell people experience, definately not expected best western.we gave 2 clean,  ",6,4,3
"just fine, hotel located pioneer square just quick walk water front/pike market, immediate location bit rough edges apparent homeless population, walked blocks away market gets noticeably better, hotel nice room spacious nicely decorated, toxic cleaning agent odor required open windows leave open, nice big room good sized bathroom, breakfast great, served adjoining breakfast room/cafe hotel includes cereal pastries bagels, continental included breakfasts, parking 1 1/2 blocks away costs 18 day, relatively convenient returned lot 9 10 pm attending wedding sketchy, shady characters lingering garage locked requires access key card opens door cruise, convenient decent place reasonable price, looking luxury n't adequate,  ",10,4,4
"nice hotel pioneer square area stayed late august, hotel decent stay decent price time year, service awesome, clean room morning late afternoon candy pillow, historic area right street pier underground tour waterfront walk, area positive transistion older area town, lots easy catch bus areas town, hotel totally redone refurbished great service, n't care having room view cheaper rates, older area town panhandlers, panhandlers quite polite aggresive,  ",9,0,4
"night not trust not disappointed stay hotel, say best western pioneer square hotel n't said, welcome seattle girls reception good trip bell captain hotel gets vote best.at end long tiring day having travelled plane boat reach seattle cares disappeared soon opened door hotel room, large room beautifully decorated king size bed taking pride place, looked peaceful welcoming period furniture matching appointments n't wait unpack relax cup tea, lighting excellent not 40 watt bulb evident, towels plentiful fluffy loads room bathroom lay toiletries, thought framed picture wall nice homey touch, room quiet no noise disturb dreamless sleep night, fact glad morning set alarm night before.i enjoyed continental breakfast morning toast jam yoghurt fruit coffee, cold cereals danish muffins offer, learned bus transportation free pioneer square area bus stop just steps away hotel entrance yesler, wanted explore foot easy walk uwajimaya shopping complex chinatown delightful place, room rate little normally pay retrospect night stay worth cent fully intend make return visit future,  ",17,8,4
"good stay spent night pacific northwest/northern ca trip pioneer square happy, room shown slightly odd arrangement tv bed not easily viewable, boston road night world series able view tv important, desk request easily politely accomodated given tv viewable room.we location hotel particularly free public transport offered seattle great, staff professional helpful, slight negative breakfast pretty mediocre, overall happy hotel selection,  ",4,2,3
"ok hotel bad location hotel not terrible looming noisy i-5 viaduct nearby, king co. courthouse not far lot people hang area not greatest, nice tourist destinations near hotel better staying nearer convention center visiting pioneer square area daylight specific things want, near convention center puts closer places downtown area like pike st. market,  ",3,4,2
"best best reason affordable better hotels city seattle, great time stay great service friendly employees, location convenient parking cheap, hotel a+,  ",7,0,4
"great hotel rooms large unfortunately no view, nice touch mints apples 2 bottles water waiting room arrived nice touch, breakfast room small crowded did not stay breakfast hotel, centrally locacated short walk want downtown seattle,  ",2,2,3
"great hotel prime location husband spent 3 nights best western pioneer square hotel great, hotel old completely remodeled just beautiful, people work friendly extremely helpful, rooms nice large clean inviting, night staff came offered towels turned bed candy pillows, location pioneer square fantastic, walk half block catch free bus walk block waterfront catch ferry islands, easy did n't bother rent car, definitely enjoyed stay stay recommend,  ",8,1,4
"location just feature great days recently location fantastic given walking distance including stadia railway station rains does transit free large zone downtown, desk staff not helpful sense humour concierge knew answers questions room quiet clean comfortable, return,  ",7,0,4
"kens column review singapore fantastic hotels newly opened st regis add list, beautiful hotel outstanding service.the rooms excellent pool small nice, great spa exercise room, food expensive great breakfast buffet outstanding, highly recommend hotel second possibly fullerton,  ",7,1,4
"absolutely wonderful st. regis, spg member excited discovered brand new option singapore starwood group, having experienced highly acclaimed st. regis beijing amazed afforadable rate singapre considering new luxurious hotel is.when checked young daughter taken surprise big chocolate chip cookie icing daughter sitting beautifully silver tray room, little slippers bathrobe lovely touches did not expect luxury hotel catering business crowd, instead feeling like hotel st. regis singapore feels like home, 3rd night butler japan knows daughter needs nightly cup hot chocolate bedtime automatically brought drink asking, personal touch remede spa hotel probably luxurious spa city tried far, great fan sea salt scrub black olive soap scrub spa works miraculously scrubs past, given glove imported mediterranean bring home, vitamin facial equally relaxing bonus parafin given feet, decadent treatment ended high note glass champagne presented therapist.i truly enjoyed stay st. regis daugher wants bring st. regis singapore holiday loves personalized chocolate chip cookies macaroons friendly restuarant managers befriended,  ",20,1,5
"returning la concha nightmare surprising hotel renaissance means marriott, staff pool bar not nicer day problem day no housekeeping day forgot leave towels similar things hall previous poster wrote exposed outlets, rooms construction started early ended late, room did n't real numbers door just check-out sticky-note thing door room number, n't pens room no guest directly did ice machine figure use phone tv channels worst tried contact hotel gm got, nice,  ",2,3,2
"great hotel, wonderful service, skeptical stay hotel construction january no idea condition, granted working hotel everyday probably near finished, construction hotel great shape beautiful inside, contemporary miami feel, people working accommodating feel like royalty, laid night pool area brought drinks food, little tapas grill outdoors pool, directly private beach waves rough, elected drive road couple blocks public beach calmer waters, able snorkel great time, area hotel coming little shops restaurants walk, hotel try, picky not complain, hotel awesome hotspot night, nice not leave hotel great bar live music plenty lounge chairs sight,  ",8,2,4
"not stay hotel brought group february worst hotel experienced, potential beautiful hotel maintenance housekeeping turned disaster, market luxury hotel not act togeter not book hotel disapointed, casino spa not open lots construction rooms dirty suites not closet doors hotel lobby bathrooms dirty order,  ",2,3,2
"loved la concha, stayed 2 nights 3 days la concha absolutely loved, sleek cool stylish, feels like place frank sinatra dean martin rest rat pack feel comfortable, wife called swanky.the bell service prompt eager help baggage car, desk check-in prompt, lobby ultra-chic believe, staff dressed part.our room over-looked ocean, room clean new fresh, large flat screen hdtv ipod-ready clock radio, attended bucket champagne, breakfast level 25 restaurant excellent, recommend breakfast buffet, pools hot tubs great beach access directly hotel, little covered cabana-like setting desire.walking city clean fun felt unsafe, restaurants walking distance hotel, walgreens 2 blocks away.i highly recommend la concha cool fun relaxing stay san juan,  ",14,0,5
"wonderful resort off-season gem, just returned nights excellent resort, went long mother day weekend stylish impeccably clean well-appointed adjoining rooms floor-to-ceiling windows overlooking caribbean, experience begins amazing lobby bar lounge area weekend dj scene opens seamlessly beautiful pool area huge overstuffed day beds pillows lushly landscaped filled clusters palms huge pots making outdoor living room effect, pools beach terraced outside lobby connected waterfall, young friendly attractive attentive staff service, food excellent breakfast buffet excellent value poolside lunch menu just perfect served right poolside grill, dinner la perla superb equal finest major city offer probably half price excellent wine list, beach terrific wide plenty palm clusters shade, happily pay high-season rates resort off-season price incredible rooms probably pay season, 20/day resort fee room worth, adding casino condos door construction noise day well-screened waterfalls water elements mildly intrusive poolside music, highly recommend romantic getaway family vacation small children grown kids,  ",21,2,5
"chic hotel great beaches excellent service great get-away, boyfriend stayed laconcha memorial day weekend 5 days/4 nights say outstanding experience, bit nervous reading reviews not disappointed, grounds immaculate construction going away noise, rooms contemporary no actual balcony ocean views beautiful, service impeccable frankie concierge desk took care need, la perla restaurant wonderful lots local spots great food entertainment, hotel lobby happening spot thursday sure looking absolute peace quiet say probably not place, ca n't say child friendly definitely recommend getaway couples girlfriends guys looking fun/sun nightlife, highly recommend stay, pricey rooms equipped refrigerators lots local places purchase food spirits hope helps enjoydkay texas,  ",13,2,5
"close perfect, just returned night stay la concha wonderful, service helpfulness came contact excellent, needy earlier reviewers compared hotels islands best far, ocean beach views room stunning, room large clean well-furnished, n't room late afternoon cleaned 2pm, hotel active night life crowds locals lobby outdoor pool area night, day beach pool closed noon build dance platform night party preventing paying guests using angered bit, positive note music definitely heard room ended 10pm, ate meal hotel bit budget-conscious food drink prices resort-priced, 14 hamburger fries 6oz cup coke not refill charging, fortunately excellent restaurants walking distance reasonably priced, walgreen couple blocks away snacks water, speaking water ice tap water hotel safe drink tastes bad, mind leave room subject review cleaning staff, leftover food disappear planning eat night, complained reimbursed hotel replacement food, long hot day hassle, safe room large used, did not need want rental car, bellstand concierge gave excellent instructions bus old san juan water ferry bacardi, occasion housekeeping neglected replenish necessary bathroom supplies tp, 5 minutes simultaneously knocking door fresh supply calling phone followup, ca n't better, pleased hotel definitely stay,  ",12,3,4
"june 08 stay stayed hotel june 6/6-6/8/08, read reviews website stating loud weekends travel san juan r r wanted new kid block try, hotel beautiful, pools small beach nice, staff friendly especially caribbean standards live caribbean, rooms large stayed ocean view room completely gorgeous, say completely shocked loud music really weekends, resort expected resort amenites believe building spa charge resort fees, management justify charging rates cant sleep party lobby/pool stops, hotel built u shape, walk lobby opens pool pool rooms left street ocean view right, music amplified like mini arena.i want stay hotel rooms nice noise level probably el san juan hilton isla verde,  ",3,4,2
"fantasic stay laconcha renaissance resort pr husband stayed hotel long weekend, entering greeted staff helpful, bell captain went way provide assistance desk staff helpful, given room fantastic view ocean, say delighted understatement considering did not know entering, hotel staff exceptional location ideal walk area close promixity old san juan, really enjoyed toiletries know small thing does make difference, certainly return happy great room, oh hotel did n't want miss opportunity provide positive feedback regarding experience, bgj,  ",9,1,4
"perfect ca n't beat location, beach incredible, rooms sumptuous, caution room overlooking pool area turns disco bar midnight friday saturday nights unless sleep little till dawn,  ",0,0,3
"not ready kinks felt taken advantage just stayed arctic club way things incomplete, shame hotel management decided rush opening, eventually kinks management charge, people clear short-cuts quick buck, does n't leave feeling good hotel, management style remain hotel completed wonder problems arise.i wo n't dwell issues related hotel not completed, permanent problems hotel half rooms face dismal collection roof-top mechanical equipment unsightly parking lot, hotel not sound-proofed rooms right lot noise, fitness room tiny tiny basement room feels like boiler room, hot water takes long time hot just barely warm, mini-bar room noisy silent ones available apparently hotel did n't spring, beautiful renovation lot promise charm stylish decor quickly starts wear, left feeling scammed,  ",15,6,4
"wonderful wedding night husband stayed night wedding august 2008. reviews said hotel beautifully renovated building interior elegant takes time gold-rush era, staff friendly accomodating, arrived midnight checked right let friend check earlier day stuff waiting room, reservation week told going wedding night upgraded free room whirlpool 2 really pretty roomy, king size bed super comfortable linens pillows soft fluffy exhausted probably fallen asleep definitely comfortable, room comfy robes toiletry products lovely high quality, interior room combination classic modern, bed-side tables looked like old-fashioned luggage trunks cool touch time large flat-screen tv modern touches, breakfast morning juno restaurant, room package came continental breakfast quite substantial lots pastries yogurt fruit, really hungry ended ordering entrees addition omelettes delicious, minor construction going inside particularly elevators did n't problem, recommend arctic club unique romantic classic place stay, definitely wo n't feel like staying chain hotel arctic club definite sense character,  ",20,2,5
"beautiful facilities overall highly disappointing space beautiful appointed excited stay lots problems, not definitely not fully running value price greatly lacking.they non-functioning elevator no benches floors waiting tiring physical disabilities limitations, recovering illness issue, addition working elevator completely broke times stay.one 2 phones dead wiring not phone stereo room did n't work tv not properly hooked water 6 floors shut nights, change rooms 2:30 morning mild stomach upsets left absolute need flush toilets.the toiletries provided exceptionally nice 4 nights replenished, did not hotel directory room nor did invitation juno grand opening cocktail party event tho supposed room, afternoons long day walking hills seattle came 4 room n't done.the staff helpful genuinely concerned.this potential grand classy hotel tho location not great, far finished, 6 months year iron bumps verify elevators functioning,  ",10,7,3
"loved arctic overall items working stayed smallest room type room 903 arctic club 3 nights attending conference, check-in smooth courteous, room small think nicest rooms stayed, bathroom nice shower rainfall style showerhead nicely decorated marble washstand vanity vintage style light fixtures, expecting room queen size bed room king, bed extremely comfortable nice pillows fluffy comforter, housekeeping did excellent job throught stay, room includes flat screen tv dvd player minibar used refrigerator cd alarm clock comfy lounge chair desk chair, 9th floor open week issues, electronic safe activated iron delivered items taken care quickly, 2 things change add additional outlet near desk pull electronics additional soundproofing windows significant noise sirens, small gym 1st floor no pool, stay deal similiar price paid time,  ",10,3,4
"history beauty superb service stayed reading recent remodel, seattle embark alaskan cruise arctic club real highlights trip, spent time just photographing lobby bar gorgeous banquet hall ceiling, beds luxuriously comfortable ca n't help impressed glad way attitude employee, treat,  ",7,0,4
"excellent wedding just ca n't say good things, beautiful setting over-the-top helpful staff great value, feel lucky got beginning sure booked,  ",5,0,4
"luxury trumps space believe reviews say rooms small, luxurious, service missteps related hotel getting speed staff anxious make amends, beware tourist map chatty concierge seriously misrepresents distance asian museum closer, hike half, finally in-house restaurant juno really good offering inventive menu terrific service,  ",3,2,3
"best destress resort earth 2 weeks destress tokyo life pick property earth price no object, rave reviews 10 luxury hotels destress bali hotels 100 tempted dive head 8-day package desa deni sight unseen, summer camp stayed long place booking one-week package unknown hotel big gamble.without doubt 1 week package desa seni single best hotel choice satisfied chose absolute best spot earth situation, veteran travellers seen world times stayed 800/night hotels paris 4 shacks vietnam, desa seni service luxury cruise liner bali daily port-of mixed summer spent grandma farm, ordering room service thing watch waiters run tiny kitchen yard pick organic tomatoes chilis lunch.uncle howie uncle tom run resort laid-back nonchalance enforcing highest standards, joke set watches garden staff 7:00:20 walking bamboo bridge garden, optional tour driver nanny massage ready waiting 15 minutes early, ordered extra towels arrived 50 seconds yes timing, time life crawled easily easy forget day was.desa seni sprawling complex 100-year old antique farm houses spread terraced rice paddies bali, surprisingly contains 12 separate rooms despite size actually small boutique hotel, resort 10-minute walk ocean hear crashing surf night, ocean breeze kept things cool needed air conditioner, old houses carried wind house n't happier sitting verandah day long reading old magazines, day gardens alive butterflies, night frogs bats geckoes god-knows-whatelse, surprisingly mosquitoes, squeamish city folk better hilton enjoyed walk country love wildlife desa seni especially sally resident brown dog.the core village sea-water pool warm night cool day, waiters enthusiatically bring towels sarongs cucumber water body sprays moment dip pool, thatched-roof rice storage hut sits end raised platform underneath makes perfect spot lazy lunch, yoga pavilion new building site, beautiful site, entrance includes running fountain, yoga classes lively repeat audience europeans australians staying nearby villas, night jelila healing music magical sounds surf mixed chorus frogs jelila singing music form unforgettable session.we stayed 2-year old boy naturally lots unusual demands, staff desa seni met anticipated ones n't thought bali pancake got bigger bigger day contained bananas, resort perfect place kids love chasing butterflies newlyweds romantics people looking detox day life fans architecture indonesian culture, weeks left boy talks bali home asking santa buy bali christmas, definitely visit encourage,  ",23,7,5
"cozy stay link hotel early year short business trip singapore taipei new comfortable stay link hotel, things room clean cozy people friendly, small pub nice surprise interesting collection red wines,  ",5,0,4
"nice boutique hotel stayed 5 nights, rooms nice clean place pretty, location good central singapore,  ",3,0,3
"really nice hotel stayed 2 nights singapore airlines stopover package, hotel open 6 months extremely clean, staff friendly helpfull.it half hour airport night lots excellent cheap eating places nearby.air room noisy hotel good value price,  ",4,2,3
"ok short stay booked hotel night stopover, singapore stopover transfer included wait half hour bus arrive took hour drive peak hour, hotel room small bed filling room, curtains not dark room lit night, bathroom tiny clean, walked tiong bahru food market nearby 2 mins dinner great best thing location.the hotel forgot wake resulted missed flight, manager lovely offered free breakfast good compensation given turned ok. missed flight things wouldnt pleasant.overall fine night business way small spend time room especially person, im not sure size rooms available,  ",6,3,3
"convenient clean small second stay hotel, come stay, convenient foods just road tiong bahru market hawker centre, convenient bus, n't familiar bus bus no, 16 remember 1 no, 3 bus stops reach tiong bahru mrt green line, chinatown easy just hotel.the room clean small, n't stay room n't mind, n't like stay building, prefer stay buidling reception area, like said long corridor yes spooky.however definitely stay place,  ",8,0,4
"word amazing, husband celebrated wedding anniversary weekend 11th, picky hotels usually enjoy vegas style rooms far exceeded expectations, staff wonderful, did n't use spa pool area ca n't comment, room 15th floor incredible city view, huge suite, time stay building bay view higher, clean fresh comfortable, told anniversary bottle champagne ice glasses waiting, rose petals bed night, huge bathroom wall windows, downside breakfast buffet limited, good food hubby picky main egg plate crab scrambled egg muffin, small area eat, walking distance union square cable cars pier 39/fishermans warf, parking expensive able park car street 50 weekend did n't use car, did n't eat restaurant, actually dinner great place called john steakhouse, quaint busy crowded like atmosphere fantastic steak halibut, staying sure,  ",11,6,4
"wonderful loved hotel, brand new opened february 2008 beautiful, stayed jr. suite 26th floor amazing view city bay bridge bay, service friendly got package included parking breakfast especially ca residents, great bed robes bathtub food, highly recommended, gave champagne candles rose petals bed mentioned wedding anniversary,  ",4,0,3
"super nice hotel immature service great clean hotel terrific rooms excellent facilities, arrived room bed clearly sat bottle water open half towels used bathroom, furthermore toilet used, called help line annoyed concerned said want want new towel, poor service, probably function new hotel new staff,  ",6,4,3
"highly recommended not faults brand new hotel modern amenities, offerings comprehensive 4-4.5 star level, booked superior room upgraded deluxe room 9th floor no view given option wait room higher floor declined.the room huge bathroom window frontage rare hotels, bathroom deluxe opinion stand shower fine preferred old fashioned tubs, bed pillow firm, linens nice, huge lcd tv, overall room extremely comfortable tastefully decorated.the service excellent called minutes prior check boarding passes printed waiting checked, recall similar experience westin ny directed business center 20 minute ordeal staff member trying hotel billing work add 4 bill.a big negative room adjacent ice machine room stairwell room 902, not loud crashing noise came ice machine filled buckets, stairwell used aggressively n't know 3am night stay, situated directly headboard noise reverberated room course woke, suspect staff member checking breakfast order cards manner efficient possible not sure, wish not woken ask room not adjacent service areas like floor, reason did n't stars way hotel truly worthy respects,  ",12,8,3
"sweeping city views great new hotel san francisco close convention centre main shopping area.i luxury staying appointed junior suites, located corners building room huge floor ceiling windows sides extending bathroom room huge complete ipod docking station huge flat screen tv massive bathroom walk-in double shower end.all staff courteous especially cheerful spa staff night stay pleasant,  ",4,0,3
"amazing windows great location called hotel directly day stay saturday night, laws live bay left daughter husband celebrate birthday city, arrived desk told upgraded, amazing view corner room 22nd floor, sparkling clean new, bed comfy location great just short walk union square, gave 2pm check day, breakfast quiet restaurant, good not spectacular, tiny lap pool filled overabudance children did not use pool, room nice plush robes, valet people friendly helpful, lot rooms sf funky small nice modern bigger rooms, husband great room just hang enjoy company daughter, not really sight seeing tourists just wanting relaxing away,  ",16,2,5
"fantastic totally happy descision stay hotel, truly not better, service overall unobtrusive desk staff quick efficent room great bar cocktails notch, truly set property excellent concierge staff, peer, not hesitate stay plan doing,  ",3,0,3
"great good rate staying intercontinental san francisco sharp departure normally stay vacationing san francisco, pleasure staying mobil-rated five-star hotels san francisco wanted try different time, gave hotel five-stars consideration paid room amenities received, paid say 300 400 room gave hotel stars, wanted share tips staying particular hotel, california residents ic offers package inclusive valet parking 46 tax night buffet breakfast including gratuities taxes 25 person 10 credit guest folio, highly recommend package california residents, package hotel__Ç_é_ website more__Ç tab book, given rate 159 standard room__Ç__his rate available rate__Ç normally reserved room, hotel buried city really no speak, different vantage points depending floor staying, believe hotel goes 33rd floor, recommend booking room appealing rate asking upgrade check-in gratis pay small fee, mind need add 14 accommodations tax tax__Ç, room rate, hotel club lounge thoughts, generally book room club access people 31-33rd floor 100 comparable room, want club access want save money__Çî_hen check-in option available supplement 80 people save 20, caveat 33 floors hotel, club lounge open 6:30 10:30 pm, unless you__Ç_éÈe staying corporate account option really does not worth, people really eat 80 worth food, additional guest 40, pay 100 club access ritz-carlton option available ritz san francisco, club access affords food presentations day internet access club lounge various reading materials possibly garment pressing not sure, reviewers mentioned amenities room forgo usual review synopsis little quirky things hotel, check-in 3 o clock pm check-out noon, room fully equipped automated mini-bar similar las vegas charge remove instantly, snickers bar costs 6.50, small coke costs 4.00, order room service automatically accessed 3 delivery surcharge 18 gratuity local sales tax 8.5, hotel offers complimentary shoe shine, housekeeping did not turn room no bottled water available evian available 8, make sure make reservation breakfast receive breakfast coupon wait 9 morning, time generally people eat breakfast anyways normally make reservations table usually available, tried check-in 8 morning no room available, came 12 helpful desk agent able room, did not look fitness pool facilities no comment, checking-out tried contact bell desk help luggage downstairs no success, time line busy, car brought 5 minutes, overall gauged paid room amenities received great deal, procure rate definitely jump chance, not pay 250 standard room stayed,  ",15,0,5
"average not spectacular stayed nights long thanksgiving holiday weekend chose hotel primarily favorable reviews tripadvisor.check-in quick efficient, corner room higher floors floor ceiling windows view great, room comfortable large flat screen tv working area.the bathroom hook hanging wet towels thing robe travel accessories, impossible, low flow showerhead pretty wimpy, experienced better quality low flow showerheads hotels.the 14.95 charge 24 hours internet access exorbitant 50.00 overnight parking hotel, like commented parked structure hotel 30.00.there lot shopping restaurants nearby hotel, recommend attending convention, got decent not great rate booking hotel web site n't rebook single penny, hotels caliber san francisco offer better rates location,  ",10,1,4
"class airport area hotel stayed sandman 17 days trip canada catching flight early morning us.i highly appreciated in-suite washer drier did fantastic job delicate stuff new spotless facilities super comfortable bed quality linens towels, great views airport airplanes mood day day homeland security officer rude outrageous ruined departure caused flight delay friendly staff,  ",8,4,3
